usp_category,usp_class,usp_drug,kegg_id_drug,drug_example,kegg_id_drug_example,nomenclature
Antiemetics,"Antiemetics, Other",Hydroxyzine,DG00912,Hydroxyzine pamoate,D01096,(JP17/USP)
Antiemetics,"Antiemetics, Other",Meclizine,DG01106,Meclozine,D08163,(BAN)
Antiemetics,"Antiemetics, Other",Meclizine,DG01106,Meclizine hydrochloride,D01317,(JAN/USP)
Antiemetics,"Antiemetics, Other",Metoclopramide,DG00055,Metoclopramide,D00726,(JP17/INN)
Antiemetics,"Antiemetics, Other",Metoclopramide,DG00055,Metoclopramide hydrochloride,D02213,(JAN)
Antiemetics,"Antiemetics, Other",Metoclopramide,DG00055,Metoclopramide hydrochloride,D05008,(USAN)
Antiemetics,"Antiemetics, Other",Perphenazine,DG00875,Perphenazine,D00503,(JP17/USP/INN)
Antiemetics,"Antiemetics, Other",Perphenazine,DG00875,Perphenazine maleate,D02037,(JP17)
Antiemetics,"Antiemetics, Other",Perphenazine,DG00875,Perphenazine fendizoate,D04038,(JAN)
Antiemetics,"Antiemetics, Other",Perphenazine,DG00875,Perphenazine hydrochloride,D04965,
Antiemetics,"Antiemetics, Other",Perphenazine,DG00875,Perphenazine decanoate,D08341,
Antiemetics,"Antiemetics, Other",Perphenazine,DG00875,Perphenazine enantate,D08342,
Antiemetics,"Antiemetics, Other",Prochlorperazine,DG00876,Prochlorperazine,D00493,(JAN/USP/INN)
Antiemetics,"Antiemetics, Other",Prochlorperazine,DG00876,Prochlorperazine maleate,D00479,(JP17/USP)
Antiemetics,"Antiemetics, Other",Prochlorperazine,DG00876,Prochlorperazine mesilate,D02022,(JAN)
Antiemetics,"Antiemetics, Other",Prochlorperazine,DG00876,Prochlorperazine edisylate,D02609,(USP)
Antiemetics,"Antiemetics, Other",Promethazine,DG00385,Promethazine,D00494,(JAN/INN)
Antiemetics,"Antiemetics, Other",Promethazine,DG00385,Promethazine hydrochloride,D00480,(JP17/USP)
Antiemetics,"Antiemetics, Other",Promethazine,DG00385,Promethazine teoclate,D01242,(JAN/INN)
Antiemetics,"Antiemetics, Other",Promethazine,DG00385,Promethazine methylenedisalicylate,D03290,(JAN)
Antiemetics,"Antiemetics, Other",Promethazine,DG00385,Promethazine maleate,D08432,
Antiemetics,"Antiemetics, Other",Promethazine,DG00385,Promethazine hibenzate,D08768,
Antiemetics,"Antiemetics, Other",Scopolamine,DG00065,Scopolamine,D00138,(INN)
Antiemetics,"Antiemetics, Other",Scopolamine,DG00065,Scopolamine hydrobromide,D02071,(USP)
Antiemetics,"Antiemetics, Other",Trimethobenzamide,,Trimethobenzamide,D08643,(INN)
Antiemetics,"Antiemetics, Other",Trimethobenzamide,,Trimethobenzamide hydrochloride,D02733,(USP)
Anti-inflammatory Agents,Nonsteroidal Anti-inflammatory Drugs,Celecoxib,,Celecoxib,D00567,(JAN/USAN/INN)
Anti-inflammatory Agents,Nonsteroidal Anti-inflammatory Drugs,Diclofenac,DG00441,Diclofenac,D07816,(USAN/INN)
Anti-inflammatory Agents,Nonsteroidal Anti-inflammatory Drugs,Diclofenac,DG00441,Diclofenac potassium,D00903,(USAN)
Anti-inflammatory Agents,Nonsteroidal Anti-inflammatory Drugs,Diclofenac,DG00441,Diclofenac sodium,D00904,(JP17/USP)
Anti-inflammatory Agents,Nonsteroidal Anti-inflammatory Drugs,Diclofenac,DG00441,Diclofenac diethylamine,D07817,
Anti-inflammatory Agents,Nonsteroidal Anti-inflammatory Drugs,Diclofenac,DG00441,Diclofenac hydroxyethylpyrrolidine,D07818,
Anti-inflammatory Agents,Nonsteroidal Anti-inflammatory Drugs,Diclofenac,DG00441,Diclofenac calcium,D07819,
Anti-inflammatory Agents,Nonsteroidal Anti-inflammatory Drugs,Diflunisal,,Diflunisal,D00130,(JAN/USP/INN)
Anti-inflammatory Agents,Nonsteroidal Anti-inflammatory Drugs,Etodolac,,Etodolac,D00315,(JP17/USP/INN)
Anti-inflammatory Agents,Nonsteroidal Anti-inflammatory Drugs,Fenoprofen,DG00754,Fenoprofen,D02350,(USAN/INN)
Anti-inflammatory Agents,Nonsteroidal Anti-inflammatory Drugs,Fenoprofen,DG00754,Fenoprofen calcium,D00968,(JAN/USP)
Anti-inflammatory Agents,Nonsteroidal Anti-inflammatory Drugs,Flurbiprofen,DG00755,Flurbiprofen,D00330,(JP17/USP/INN)
Anti-inflammatory Agents,Nonsteroidal Anti-inflammatory Drugs,Flurbiprofen,DG00755,Flurbiprofen axetil,D01475,(JAN)
Anti-inflammatory Agents,Nonsteroidal Anti-inflammatory Drugs,Flurbiprofen,DG00755,Flurbiprofen sodium,D02290,(USP)
Anti-inflammatory Agents,Nonsteroidal Anti-inflammatory Drugs,Flurbiprofen,DG00755,Esflurbiprofen,D10254,(JAN)
Anti-inflammatory Agents,Nonsteroidal Anti-inflammatory Drugs,Ibuprofen,DG00245,Ibuprofen,D00126,(JP17/USP/INN)
Anti-inflammatory Agents,Nonsteroidal Anti-inflammatory Drugs,Ibuprofen,DG00245,Ibuprofen piconol,D01122,(JP17/USAN)
Anti-inflammatory Agents,Nonsteroidal Anti-inflammatory Drugs,Ibuprofen,DG00245,Ibuprofen aluminum,D04490,(USAN)
Anti-inflammatory Agents,Nonsteroidal Anti-inflammatory Drugs,Ibuprofen,DG00245,Ibuprofen lysine,D06606,(USAN)
Anti-inflammatory Agents,Nonsteroidal Anti-inflammatory Drugs,Ibuprofen,DG00245,Ibuprofen arginine salt,D08058,
Anti-inflammatory Agents,Nonsteroidal Anti-inflammatory Drugs,Ibuprofen,DG00245,Ibuprofen sodium,D08059,
Anti-inflammatory Agents,Nonsteroidal Anti-inflammatory Drugs,Ibuprofen,DG00245,Ibuprofen sodium,D09760,(USAN)
Anti-inflammatory Agents,Nonsteroidal Anti-inflammatory Drugs,Indomethacin,DG00241,Indomethacin,D00141,(USP)
Anti-inflammatory Agents,Nonsteroidal Anti-inflammatory Drugs,Indomethacin,DG00241,Indomethacin sodium,D02110,(USP)
Anti-inflammatory Agents,Nonsteroidal Anti-inflammatory Drugs,Ketoprofen,DG00753,Ketoprofen,D00132,(JP17/USP/INN)
Anti-inflammatory Agents,Nonsteroidal Anti-inflammatory Drugs,Ketoprofen,DG00753,Ketoprofen lysine,D08102,
Anti-inflammatory Agents,Nonsteroidal Anti-inflammatory Drugs,Ketoprofen,DG00753,Ketoprofen sodium,D08103,
Anti-inflammatory Agents,Nonsteroidal Anti-inflammatory Drugs,Ketorolac,DG00751,Ketorolac,D08104,(INN)
Anti-inflammatory Agents,Nonsteroidal Anti-inflammatory Drugs,Ketorolac,DG00751,Ketorolac tromethamine,D00813,(USP)
Anti-inflammatory Agents,Nonsteroidal Anti-inflammatory Drugs,Meclofenamate,DG00758,Meclofenamic acid,D02341,(USAN/INN)
Anti-inflammatory Agents,Nonsteroidal Anti-inflammatory Drugs,Meclofenamate,DG00758,Meclofenamate sodium,D00169,(USP)
Anti-inflammatory Agents,Nonsteroidal Anti-inflammatory Drugs,Meclofenamate,DG00758,Meclofenamate sodium,D08162,
Anti-inflammatory Agents,Nonsteroidal Anti-inflammatory Drugs,Mefenamic acid,,Mefenamic acid,D00151,(JP17/USP/INN)
Anti-inflammatory Agents,Nonsteroidal Anti-inflammatory Drugs,Meloxicam,,Meloxicam,D00969,(JAN/USAN/INN)
Anti-inflammatory Agents,Nonsteroidal Anti-inflammatory Drugs,Nabumetone,,Nabumetone,D00425,(JP17/USP/INN)
Anti-inflammatory Agents,Nonsteroidal Anti-inflammatory Drugs,Naproxen,DG00455,Naproxen,D00118,(JP17/USP/INN)
Anti-inflammatory Agents,Nonsteroidal Anti-inflammatory Drugs,Naproxen,DG00455,Naproxen sodium,D00970,(USP)
Anti-inflammatory Agents,Nonsteroidal Anti-inflammatory Drugs,Naproxen,DG00455,Naproxen etemesil,D10017,(USAN)
Anti-inflammatory Agents,Nonsteroidal Anti-inflammatory Drugs,Oxaprozin,,Oxaprozin,D00463,(JP17/USAN/INN)
Anti-inflammatory Agents,Nonsteroidal Anti-inflammatory Drugs,Piroxicam,DG00752,Piroxicam,D00127,(JP17/USP/INN)
Anti-inflammatory Agents,Nonsteroidal Anti-inflammatory Drugs,Piroxicam,DG00752,Piroxicam betadex,D05511,(USAN)
Anti-inflammatory Agents,Nonsteroidal Anti-inflammatory Drugs,Piroxicam,DG00752,Piroxicam cinnamate,D05512,(USAN)
Anti-inflammatory Agents,Nonsteroidal Anti-inflammatory Drugs,Piroxicam,DG00752,Piroxicam olamine,D05513,(USAN)
Anti-inflammatory Agents,Nonsteroidal Anti-inflammatory Drugs,Sulindac,,Sulindac,D00120,(JP17/USP/INN)
Anti-inflammatory Agents,Nonsteroidal Anti-inflammatory Drugs,Tolmetin,DG00747,Tolmetin,D02355,(USAN/INN)
Anti-inflammatory Agents,Nonsteroidal Anti-inflammatory Drugs,Tolmetin,DG00747,Tolmetin sodium,D00158,(JAN/USP)
Antimigraine Agents,Ergot Alkaloids,Dihydroergotamine,DG00833,Dihydroergotamine,D07837,(INN)
Antimigraine Agents,Ergot Alkaloids,Dihydroergotamine,DG00833,Dihydroergotamine mesylate,D02211,(USP)
Antimigraine Agents,Ergot Alkaloids,Dihydroergotamine,DG00833,Dihydroergotamine tartrate,D07838,
Antimigraine Agents,Ergot Alkaloids,Ergotamine,DG00834,Ergotamine,D07906,(INN)
Antimigraine Agents,Ergot Alkaloids,Ergotamine,DG00834,Ergotamine tartrate,D00679,(JP17/USP)
Antimigraine Agents,Serotonin (5-HT) 1b/1d Receptor Agonists,Almotriptan,DG00839,Almotriptan,D02824,(USAN)
Antimigraine Agents,Serotonin (5-HT) 1b/1d Receptor Agonists,Almotriptan,DG00839,Almotriptan malate,D02825,(USAN)
Antimigraine Agents,Serotonin (5-HT) 1b/1d Receptor Agonists,Eletriptan,DG00840,Eletriptan,D07887,(INN)
Antimigraine Agents,Serotonin (5-HT) 1b/1d Receptor Agonists,Eletriptan,DG00840,Eletriptan hydrobromide,D01973,(JAN/USAN)
Antimigraine Agents,Serotonin (5-HT) 1b/1d Receptor Agonists,Frovatriptan,DG00841,Frovatriptan,D07997,(INN)
Antimigraine Agents,Serotonin (5-HT) 1b/1d Receptor Agonists,Frovatriptan,DG00841,Frovatriptan succinate,D04264,(USAN)
Antimigraine Agents,Serotonin (5-HT) 1b/1d Receptor Agonists,Naratriptan,DG00837,Naratriptan,D08255,(INN)
Antimigraine Agents,Serotonin (5-HT) 1b/1d Receptor Agonists,Naratriptan,DG00837,Naratriptan hydrochloride,D00674,(JAN/USAN)
Antimigraine Agents,Serotonin (5-HT) 1b/1d Receptor Agonists,Rizatriptan,DG00838,Rizatriptan,D08485,(INN)
Antimigraine Agents,Serotonin (5-HT) 1b/1d Receptor Agonists,Rizatriptan,DG00838,Rizatriptan benzoate,D00675,(JAN/USAN)
Antimigraine Agents,Serotonin (5-HT) 1b/1d Receptor Agonists,Rizatriptan,DG00838,Rizatriptan sulfate,D05740,(USAN)
Antimigraine Agents,Serotonin (5-HT) 1b/1d Receptor Agonists,Sumatriptan,DG00836,Sumatriptan,D00451,(JAN/USP/INN)
Antimigraine Agents,Serotonin (5-HT) 1b/1d Receptor Agonists,Sumatriptan,DG00836,Sumatriptan succinate,D00676,(JAN/USAN)
Antimigraine Agents,Serotonin (5-HT) 1b/1d Receptor Agonists,Zolmitriptan,,Zolmitriptan,D00415,(JAN/USAN/INN)
Antimigraine Agents,Prophylactic,Timolol,DG00306,Timolol,D08600,(INN)
Antimigraine Agents,Prophylactic,Timolol,DG00306,Timolol,D00378,(USAN)
Antimigraine Agents,Prophylactic,Timolol,DG00306,Timolol maleate,D00603,(JP17/USP)
Antimigraine Agents,Prophylactic,Divalproex,,Divalproex sodium,D00304,(USP)
Antimigraine Agents,Prophylactic,Topiramate,,Topiramate,D00537,(JAN/USAN/INN)
Antimigraine Agents,Prophylactic,Valproate,DG00849,Valproic acid,D00399,(USP)
Antimigraine Agents,Prophylactic,Valproate,DG00849,Divalproex sodium,D00304,(USP)
Antimigraine Agents,Prophylactic,Valproate,DG00849,Valproate sodium,D00710,(USAN)
Antimigraine Agents,Prophylactic,Valproate,DG00849,Calcium valproate,D08667,
Antimyasthenic Agents,Parasympathomimetics,Ambenonium,DG00990,Ambenonium chloride,D01001,(JP17/INN)
Antimyasthenic Agents,Parasympathomimetics,Pyridostigmine,DG00988,Pyridostigmine bromide,D00487,(JP17/USP/INN)
Antimycobacterials,Antituberculars,Bedaquiline,DG00644,Bedaquiline,D09872,(USAN/INN)
Antimycobacterials,Antituberculars,Bedaquiline,DG00644,Bedaquiline fumarate,D09873,(JAN/USAN)
Antimycobacterials,Antituberculars,Capreomycin,DG00641,Capreomycin,D07607,(INN)
Antimycobacterials,Antituberculars,Capreomycin,DG00641,Capreomycin sulfate,D00135,(JAN/USP)
Antimycobacterials,Antituberculars,Cycloserine,,Cycloserine,D00877,(JP17/USP/INN)
Antimycobacterials,Antituberculars,Ethambutol,DG00643,Ethambutol,D07925,(INN)
Antimycobacterials,Antituberculars,Ethambutol,DG00643,Ethambutol hydrochloride,D00878,(JP17/USP)
Antimycobacterials,Antituberculars,Ethionamide,,Ethionamide,D00591,(JP17/USP/INN)
Antimycobacterials,Antituberculars,Isoniazid,DG00642,Isoniazid,D00346,(JP17/USP/INN)
Antimycobacterials,Antituberculars,Isoniazid,DG00642,Isoniazid calcium pyruvinate,D01501,(JAN)
Antimycobacterials,Antituberculars,Isoniazid,DG00642,Isoniazid sodium methanesulfonate hydrate,D02002,(JAN)
Antimycobacterials,Antituberculars,Isoniazid,DG00642,Isoniazid glucuronate sodium,D09773,(JAN)
Antimycobacterials,Antituberculars,Pyrazinamide,,Pyrazinamide,D00144,(JP17/USP/INN)
Antimycobacterials,Antituberculars,Rifampin,DG00639,Rifampin,D00211,(USP)
Antimycobacterials,Antituberculars,Rifapentine,,Rifapentine,D00879,(USAN/INN)
Antimycobacterials,"Antimycobacterials, Other",Dapsone,,Dapsone,D00592,(USP)
Antimycobacterials,"Antimycobacterials, Other",Rifabutin,,Rifabutin,D00424,(JAN/USP/INN)
Antineoplastics,Alkylating Agents,Altretamine,,Altretamine,D02841,(USP/INN)
Antineoplastics,Alkylating Agents,Chlorambucil,,Chlorambucil,D00266,(JAN/USP/INN)
Antineoplastics,Alkylating Agents,Mechlorethamine,,Mechlorethamine hydrochloride,D04872,(USP)
Antineoplastics,Alkylating Agents,Melphalan,DG00676,Melphalan,D00369,(JP17/USP/INN)
Antineoplastics,Alkylating Agents,Melphalan,DG00676,Melphalan hydrochloride,D08173,
Antineoplastics,Alkylating Agents,Lomustine,,Lomustine,D00363,(USAN/INN)
Antineoplastics,Alkylating Agents,Busulfan,,Busulfan,D00248,(JP17/USP/INN)
Antineoplastics,Alkylating Agents,Cyclophosphamide,DG00675,Cyclophosphamide,D07760,(INN)
Antineoplastics,Alkylating Agents,Cyclophosphamide,DG00675,Cyclophosphamide,D00287,(USP)
Antineoplastics,Alkylating Agents,Procarbazine,DG00706,Procarbazine,D08423,(INN)
Antineoplastics,Alkylating Agents,Procarbazine,DG00706,Procarbazine hydrochloride,D00478,(JP17/USP)
Antineoplastics,Antiandrogens,Enzalutamide,,Enzalutamide,D10218,(JAN/USAN)
Antineoplastics,Antiandrogens,Bicalutamide,,Bicalutamide,D00961,(JAN/USP/INN)
Antineoplastics,Antiandrogens,Flutamide,,Flutamide,D00586,(JP17/USP/INN)
Antineoplastics,Antiandrogens,Nilutamide,,Nilutamide,D00965,(USAN/INN)
Antineoplastics,Antiandrogens,Abiraterone,,Abiraterone acetate,D09701,(JAN/USAN)
Antineoplastics,Antiangiogenic Agents,Lenalidomide,DG00744,Lenalidomide,D04687,(USAN/INN)
Antineoplastics,Antiangiogenic Agents,Lenalidomide,DG00744,Lenalidomide hydrate,D09813,(JAN)
Antineoplastics,Antiangiogenic Agents,Pomalidomide,,Pomalidomide,D08976,(JAN/USAN/INN)
Antineoplastics,Antiangiogenic Agents,Thalidomide,,Thalidomide,D00754,(JAN/USP/INN)
Antineoplastics,Antiestrogens/Modifiers,Estramustine,DG00724,Estramustine,D04066,(USAN/INN)
Antineoplastics,Antiestrogens/Modifiers,Estramustine,DG00724,Estramustine phosphate sodium,D02398,(USAN)
Antineoplastics,Antiestrogens/Modifiers,Estramustine,DG00724,Estramustine phosphate sodium hydrate,D06397,(JAN)
Antineoplastics,Antiestrogens/Modifiers,Tamoxifen,DG00734,Tamoxifen,D08559,(INN)
Antineoplastics,Antiestrogens/Modifiers,Tamoxifen,DG00734,Tamoxifen citrate,D00966,(JP17/USP)
Antineoplastics,Antiestrogens/Modifiers,Toremifene,DG00735,Toremifene,D08620,(INN)
Antineoplastics,Antiestrogens/Modifiers,Toremifene,DG00735,Toremifene citrate,D00967,(JAN/USAN)
Antineoplastics,Antimetabolites,Mercaptopurine,DG00683,Mercaptopurine,D04931,(INN)
Antineoplastics,Antimetabolites,Mercaptopurine,DG00683,Mercaptopurine,D00161,(USP)
Antineoplastics,Antimetabolites,Thioguanine,DG00684,Tioguanine,D08603,(INN)
Antineoplastics,Antimetabolites,Thioguanine,DG00684,Thioguanine,D06109,(USP)
Antineoplastics,Antimetabolites,Hydroxyurea,,Hydroxyurea,D00341,(USP)
Antineoplastics,"Aromatase Inhibitors, 3rd Generation",Anastrozole,,Anastrozole,D00960,(JAN/USAN/INN)
Antineoplastics,"Aromatase Inhibitors, 3rd Generation",Exemestane,,Exemestane,D00963,(JAN/USP/INN)
Antineoplastics,"Aromatase Inhibitors, 3rd Generation",Letrozole,,Letrozole,D00964,(JAN/USP/INN)
Antineoplastics,Enzyme Inhibitors,Etoposide,DG00693,Etoposide,D00125,(JP17/USP/INN)
Antineoplastics,Enzyme Inhibitors,Etoposide,DG00693,Etoposide phosphate,D04107,(USAN)
Antineoplastics,Enzyme Inhibitors,Topotecan,DG00725,Topotecan,D08618,(BAN)
Antineoplastics,Enzyme Inhibitors,Topotecan,DG00725,Topotecan hydrochloride,D02168,(USAN)
Antineoplastics,Molecular Target Inhibitors,Vemurafenib,,Vemurafenib,D09996,(JAN/USAN/INN)
Antineoplastics,Molecular Target Inhibitors,Dabrafenib,DG00721,Dabrafenib,D10064,(USAN)
Antineoplastics,Molecular Target Inhibitors,Dabrafenib,DG00721,Dabrafenib mesylate,D10104,(USAN)
Antineoplastics,Molecular Target Inhibitors,Trametinib,DG00723,Trametinib,D10175,(USAN)
Antineoplastics,Molecular Target Inhibitors,Trametinib,DG00723,Trametinib dimethyl sulfoxide,D10176,(JAN/USAN)
Antineoplastics,Molecular Target Inhibitors,Ibrutinib,,Ibrutinib,D10223,(JAN/USAN)
Antineoplastics,Molecular Target Inhibitors,Afatinib,DG00717,Afatinib,D09724,(USAN/INN)
Antineoplastics,Molecular Target Inhibitors,Afatinib,DG00717,Afatinib dimaleate,D09733,(USAN)
Antineoplastics,Molecular Target Inhibitors,Erlotinib,DG00711,Erlotinib,D07907,(INN)
Antineoplastics,Molecular Target Inhibitors,Erlotinib,DG00711,Erlotinib hydrochloride,D04023,(JAN/USAN)
Antineoplastics,Molecular Target Inhibitors,Vismodegib,,Vismodegib,D09992,(USAN/INN)
Antineoplastics,Molecular Target Inhibitors,Ruxolitinib,DG00719,Ruxolitinib,D09959,(USAN/INN)
Antineoplastics,Molecular Target Inhibitors,Ruxolitinib,DG00719,Ruxolitinib phosphate,D09960,(JAN/USAN)
Antineoplastics,Molecular Target Inhibitors,Everolimus,,Everolimus,D02714,(JAN/USAN/INN)
Antineoplastics,Molecular Target Inhibitors,Crizotinib,,Crizotinib,D09731,(JAN/USAN/INN)
Antineoplastics,Molecular Target Inhibitors,Bosutinib,DG00718,Bosutinib,D03252,(USAN)
Antineoplastics,Molecular Target Inhibitors,Bosutinib,DG00718,Bosutinib hydrate,D09728,(JAN)
Antineoplastics,Molecular Target Inhibitors,Dasatinib,DG00714,Dasatinib,D03658,(INN)
Antineoplastics,Molecular Target Inhibitors,Dasatinib,DG00714,Dasatinib,D06414,(USAN)
Antineoplastics,Molecular Target Inhibitors,Imatinib,DG00710,Imatinib,D08066,(INN)
Antineoplastics,Molecular Target Inhibitors,Imatinib,DG00710,Imatinib mesylate,D01441,(USAN)
Antineoplastics,Molecular Target Inhibitors,Nilotinib,DG00716,Nilotinib,D08953,(USAN/INN)
Antineoplastics,Molecular Target Inhibitors,Nilotinib,DG00716,Nilotinib hydrochloride hydrate,D06413,(JAN)
Antineoplastics,Molecular Target Inhibitors,Ponatinib,DG00722,Ponatinib,D09950,(USAN/INN)
Antineoplastics,Molecular Target Inhibitors,Ponatinib,DG00722,Ponatinib hydrochloride,D09951,(JAN/USAN)
Antineoplastics,Molecular Target Inhibitors,Lapatinib,DG00715,Lapatinib,D08108,(INN)
Antineoplastics,Molecular Target Inhibitors,Lapatinib,DG00715,Lapatinib ditosylate,D04024,(USAN)
Antineoplastics,Molecular Target Inhibitors,Axitinib,,Axitinib,D03218,(JAN/USAN)
Antineoplastics,Molecular Target Inhibitors,Cabozantinib,DG01670,Cabozantinib,D10062,(USAN)
Antineoplastics,Molecular Target Inhibitors,Cabozantinib,DG01670,Cabozantinib s-malate,D10095,(USAN)
Antineoplastics,Molecular Target Inhibitors,Pazopanib,,Pazopanib hydrochloride,D05380,(JAN/USAN)
Antineoplastics,Molecular Target Inhibitors,Regorafenib,DG00720,Regorafenib,D10138,(USAN/INN)
Antineoplastics,Molecular Target Inhibitors,Regorafenib,DG00720,Regorafenib hydrate,D10137,(JAN)
Antineoplastics,Molecular Target Inhibitors,Sorafenib,DG00713,Sorafenib,D08524,(USAN/INN)
Antineoplastics,Molecular Target Inhibitors,Sorafenib,DG00713,Sorafenib tosylate,D06272,(USAN)
Antineoplastics,Molecular Target Inhibitors,Sunitinib,DG00712,Sunitinib,D08552,(INN)
Antineoplastics,Molecular Target Inhibitors,Sunitinib,DG00712,Sunitinib malate,D06402,(JAN/USAN)
Antineoplastics,Monoclonal Antibodies,Rituximab,,Rituximab,D02994,(USAN/INN)
Antineoplastics,Monoclonal Antibodies,Ofatumumab,,Ofatumumab,D09314,(USAN/INN)
Antineoplastics,Retinoids,Alitretinoin,,Alitretinoin,D02815,(USAN)
Antineoplastics,Retinoids,Bexarotene,,Bexarotene,D03106,(JAN/USAN/INN)
Antineoplastics,Retinoids,Tretinoin,DG00433,Tretinoin,D00094,(JAN/USP/INN)
Antineoplastics,Retinoids,Tretinoin,DG00433,Tretinoin tocoferil,D01516,(JAN)
Antineoplastics,"Antineoplastics, Other",Fludarabine,DG00685,Fludarabine,D07966,(INN)
Antineoplastics,"Antineoplastics, Other",Fludarabine,DG00685,Fludarabine phosphate,D01907,(JAN/USP)
Antineoplastics,"Antineoplastics, Other",Leucovorin,,Folinic acid,D07986,(BAN)
Antineoplastics,"Antineoplastics, Other",Leucovorin,,Leucovorin calcium,D01211,(USP)
Antineoplastics,"Antineoplastics, Other",Leucovorin,,Folinic acid calcium salt pentahydrate,D07987,
Antineoplastics,"Antineoplastics, Other",Mitoxantrone,DG00701,Mitoxantrone,D08224,(INN)
Antineoplastics,"Antineoplastics, Other",Mitoxantrone,DG00701,Mitoxantrone hydrochloride,D02166,(JAN/USP)
Antineoplastics,"Antineoplastics, Other",Vorinostat,,Vorinostat,D06320,(JAN/USAN)
Antiparasitics,Anthelmintics,Albendazole,DG01022,Albendazole,D00134,(JAN/USP/INN)
Antiparasitics,Anthelmintics,Albendazole,DG01022,Albendazole oxide,D07106,(INN)
Antiparasitics,Anthelmintics,Ivermectin,,Ivermectin,D00804,(JAN/USAN/INN)
Antiparasitics,Anthelmintics,Mebendazole,,Mebendazole,D00368,(JAN/USP/INN)
Antiparasitics,Anthelmintics,Praziquantel,,Praziquantel,D00471,(JAN/USP/INN)
Antiparasitics,Antiprotozoals,Artemether and Lumefantrine,,Artemether - lumefantrine mixt,D02484,
Antiparasitics,Antiprotozoals,Atovaquone and Proguanil Hydrochloride,,Atovaquone - proguanil hydrochloride mixt,D02472,
Antiparasitics,Antiprotozoals,Chloroquine,DG01014,Chloroquine,D02366,(USP/INN)
Antiparasitics,Antiprotozoals,Chloroquine,DG01014,Chloroquine phosphate,D02125,(USP)
Antiparasitics,Antiprotozoals,Chloroquine,DG01014,Chloroquine hydrochloride,D03469,(USP)
Antiparasitics,Antiprotozoals,Chloroquine,DG01014,Chloroquine sulfate,D07680,
Antiparasitics,Antiprotozoals,Hydroxychloroquine,DG01015,Hydroxychloroquine,D08050,(INN)
Antiparasitics,Antiprotozoals,Hydroxychloroquine,DG01015,Hydroxychloroquine sulfate,D02114,(JAN/USP)
Antiparasitics,Antiprotozoals,Mefloquine,DG01020,Mefloquine,D04895,(USAN/INN)
Antiparasitics,Antiprotozoals,Mefloquine,DG01020,Mefloquine hydrochloride,D00831,(JP17/USP)
Antiparasitics,Antiprotozoals,Primaquine,DG01016,Primaquine,D08420,(INN)
Antiparasitics,Antiprotozoals,Primaquine,DG01016,Primaquine phosphate,D02126,(JAN/USP)
Antiparasitics,Antiprotozoals,Pyrimethamine,,Pyrimethamine,D00488,(JAN/USP/INN)
Antiparasitics,Antiprotozoals,Pyrimethamine,,Pyrimethamine - sulfadoxine mixt,D02448,
Antiparasitics,Antiprotozoals,Quinine,DG01019,Quinine,D08460,(BAN)
Antiparasitics,Antiprotozoals,Quinine,DG01019,Quinine ethylcarbonate,D01663,(JP17)
Antiparasitics,Antiprotozoals,Quinine,DG01019,Quinine hydrochloride hydrate,D02261,(JP17)
Antiparasitics,Antiprotozoals,Quinine,DG01019,Quinine sulfate,D02262,(USP)
Antiparasitics,Antiprotozoals,Quinine,DG01019,Quinine ascorbate,D05681,(USAN)
Antiparasitics,Antiprotozoals,Quinine,DG01019,Quinine dihydrochloride,D08461,
Antiparasitics,Antiprotozoals,Atovaquone,,Atovaquone,D00236,(JAN/USP/INN)
Antiparasitics,Antiprotozoals,Nitazoxanide,,Nitazoxanide,D02486,(USAN/INN)
Antiparasitics,Antiprotozoals,Pentamidine,DG01902,Pentamidine,D08333,(INN)
Antiparasitics,Antiprotozoals,Pentamidine,DG01902,Pentamidine isethionate,D00834,(USAN)
Antiparasitics,Pediculicides/Scabicides,Benzyl alcohol,,Benzyl alcohol,D00077,(JP17/NF/INN)
Antiparasitics,Pediculicides/Scabicides,Crotamiton,,Crotamiton,D01381,(JAN/USP/INN)
Antiparasitics,Pediculicides/Scabicides,Lindane,,Lindane,D00360,(USP/INN)
Antiparasitics,Pediculicides/Scabicides,Malathion,,Malathion,D00534,(USP)
Antiparasitics,Pediculicides/Scabicides,Permethrin,,Permethrin,D05443,(USAN/INN)
Antiparasitics,Pediculicides/Scabicides,Spinosad,,Spinosad,D09384,(USAN)
Antiparkinson Agents,Anticholinergics,Benztropine,DG00859,Benzatropine,D07511,(INN)
Antiparkinson Agents,Anticholinergics,Benztropine,DG00859,Benztropine mesylate,D00778,(USP)
Antiparkinson Agents,Anticholinergics,Diphenhydramine,DG00390,Diphenhydramine,D00300,(JP17/INN)
Antiparkinson Agents,Anticholinergics,Diphenhydramine,DG00390,Diphenhydramine hydrochloride,D00669,(JP17/USP)
Antiparkinson Agents,Anticholinergics,Diphenhydramine,DG00390,Diphenhydramine salicylate,D02419,(JAN)
Antiparkinson Agents,Anticholinergics,Diphenhydramine,DG00390,Diphenhydramine tannate,D03285,(JP17)
Antiparkinson Agents,Anticholinergics,Diphenhydramine,DG00390,Diphenhydramine laurylsulfate,D03360,(JAN)
Antiparkinson Agents,Anticholinergics,Diphenhydramine,DG00390,Diphenhydramine citrate,D03854,(USP)
Antiparkinson Agents,Anticholinergics,Trihexyphenidyl,DG00851,Trihexyphenidyl,D08638,(INN)
